ACC_Weekend,Weekend
ELDCRT_certifyLogLayout_descText,"I hereby certify that my data entries and my record of duty status for this 24-hour period are true and correct."
ELDCRT_certifyLogToastText,"Log Successfully Certified"
ELDDCF_currentDutyStatusTitleText,"Current Duty Status"
ELDDCF_currentVehicleTitleText,"Current Vehicle EDIT"
ELDDCF_driveLockOutButton,SELECT
ELDDCF_driveLockOutMessage,"To go into DRIVE, you must select a vehicle."
ELDDCF_driveLockOutTitle,"No Vehicle Currently Selected"
ELDDCF_dutyStatusChangeNoteTitle,"Duty Status Change Note"
ELDDCF_dutyStatusTitle,"Duty Status"
ELDDCF_dutyStatus_D,Driving
ELDDCF_dutyStatus_Drive,Drive
ELDDCF_dutyStatus_OFF,"Off Duty"
ELDDCF_dutyStatus_ON,"On Duty"
ELDDCF_dutyStatus_SB,"Sleeper Berth"
ELDDCF_fetchLocation,"fetch location"
ELDDCF_infoManualDriveDisabledDetails,"Your fleet has disabled going into Drive manually. Connect to a vehicle and begin driving, and you’ll automatically be put in Drive."
ELDDCF_infoManualDriveDisabledTitle,"Manual Drives Disabled"
ELDDCF_locationNotFound,"Your location could not be determined automatically. Tap the arrow icon to try again or enter your location manually."
ELDDCF_locationTitle,Location
ELDDCF_showErrorMessage_dutyStateNotFound,"Select a duty status or an exception to save."
ELDDCF_showErrorMessage_locationNotFound,"Enter a valid location."
ELDDCF_showErrorMessage_notesNotFound,"Enter a note."
ELDDCF_toolbar_title,"Change Duty Status"
ELDDCF_warning_drive_not_eld_compliant_detail,"Your app must connected to the vehicle adapter before you begin a drive for ELD compliance."
ELDDCF_warning_drive_not_eld_compliant_title,"This Drive Will Not Be ELD Compliant!"
ELDDCF_warning_drive_without_connected_detail,"Your fleet has disabled going into Drive when not connected to a vehicle. Connect to a vehicle and you’ll be able to go into Drive."
ELDDCF_warning_drive_without_connected_title,"Drives Without Connected Vehicle Disabled"
ELDDLOF_add_driver_license_number_and_state,"Add Driver License Number and State"
ELDDLOF_continueButtonText,Continue
ELDDLOF_continueButtonText,Continue
ELDDLOF_dot_inspection_mode_requirement,"Roadside Inspection Requirement"
ELDDLOF_driverLicenseSampleImage,"Driver License Sample"
ELDDLOF_licenseDataExplanation,"The Department of Transportation requires that you digitally submit your commercial driver’s license number and state during an inspection. Please add this information to your driver profile."
ELDDSCF_currentVehicleConnectionStatusTitleText,"Vehicle Connection Status"
ELDDSCF_dutyStatusTabTitle,"Duty Statuses"
ELDDSCF_editButtonText,Edit
ELDDSCF_exceptionTabTitle,"Daily Shift Exceptions"
ELDDSCF_toolbar_title,"Add HOS Event"
ELDDSCF_vehicleAdapterConnected,Connected
ELDDSCF_vehicleAdapterNotConnected,"Not Connected"
ELDDSCF_vehicleHasNoAdapter,"Vehicle Has No Adapter"
ELDDSCF_vehicleText,"Current Vehicle"
ELDEDIT_badEndTimeErrorMessage,"End time must be after Start time."
ELDEDIT_badEndTimeForEventUpdateErrorMessage,"End time cannot be before the Start time\nof the original event."
ELDEDIT_badStartTimeErrorMessage,"Start time must be before End time."
ELDEDIT_badStartTimeForEventUpdateErrorMessage,"Start time cannot be after the End time\nof the original event."
ELDEDIT_dutyStatusTitle,"Duty Status"
ELDEDIT_editLogFailure,"Failed to edit log."
ELDEDIT_endTimeTitle,"End Time"
ELDEDIT_fetchLocationContentDesc,"fetch location"
ELDEDIT_locationLockedMessage,"The ELD Mandate requires the automatic recording of GPS location as the distance to the nearest town of 5,000 or more. Locations can only be entered by drivers if Maven cannot automatically determine location."
ELDEDIT_locationLockedTitle,"Cannot Edit Location"
ELDEDIT_locationNotFound,"Your location could not be determined automatically. Tap the arrow icon to try again or enter your location manually."
ELDEDIT_locationTitle,Location
ELDEDIT_movementEventsEditNoteText,"Movement time must be labelled as Drive or the special categories ON Yard Moves or OFF Personal Conveyance."
ELDEDIT_movementTimeCannotBeEdited,"Movement time cannot be edited."
ELDEDIT_notesTitle,Notes
ELDEDIT_showErrorMessage_dutyStateNotFound,"Select a duty status."
ELDEDIT_showErrorMessage_endTimeNotFound,"Set the end time."
ELDEDIT_showErrorMessage_futureTimeEdit,"Cannot edit an event with a future time."
ELDEDIT_showErrorMessage_locationNotFound,"Enter a valid location."
ELDEDIT_showErrorMessage_notesNotFound,"Enter a note."
ELDEDIT_showErrorMessage_saveFailed,"Failed to save edit. Please try again."
ELDEDIT_showErrorMessage_startTimeNotFound,"Set the start time"
ELDEDIT_showErrorMessage_unableToEditEvent,"Unable to edit event. Please try again."
ELDEDIT_startTimeTitle,"Start Time"
ELDEDIT_toolbarTitle_addEvent,"Add Past Duty Status"
ELDEDIT_toolbarTitle_editEvent,"Edit Duty Status"
ELDEVF_addPastEventButton_text,"ADD PAST EVENT"
ELDEVF_commonTopBar_inspectionLayout_certifiedDefaultText,"Certified —/—/—"
ELDEVF_commonTopBar_inspectionLayout_certifiedImageDesc,Certified
ELDEVF_eventsBar_eventsTitle,Events
ELDEVF_eventsBar_eventsWithSuggestedEditsTitle,"Events with suggested edits"
ELDEVF_eventsBar_violationsTitle,Violations
ELDEVF_eventsList_dutyStatusDefaultText,"Not Found"
ELDEVF_eventsList_dutyStatusDurationDefaultText,"0h 00m"
ELDEVF_eventsList_dutyStatusLocationDefaultText,"Not Found"
ELDEVF_eventsList_dutyStatusNotesDefaultText,--
ELDEVF_eventsList_dutyStatusTimeDefaultText,"Not Found"
ELDEVF_eventsList_dutyStatusYMPCDefaultText,--
ELDEVF_eventsList_editButtonText,EDIT
ELDEVF_eventsList_removeExceptionButton,Remove
ELDEVF_lowerBoundTimeText,"12 AM"
ELDEVF_lowerBoundTimeTextForToday,NOW
ELDEVF_topBar_cannotEditText,"Logs cannot be edited once certified."
ELDEVF_upperBoundTimeText,"12 AM"
ELDEVF_violationsList_breakTime_US70HR,"30 Minute"
ELDEVF_violationsList_breakViolationTitle,"%1$s Break Needed"
ELDEVF_violationsList_cycleTime_US70HR,"70 Hour"
ELDEVF_violationsList_cycleViolationTitle,"%1$s Cycle Time Exceeded"
ELDEVF_violationsList_driveViolationTitle,"Drive Time Exceeded"
ELDEVF_violationsList_durationTextPrefix," for  "
ELDEVF_violationsList_headerDefaultText,"Not Found"
ELDEVF_violationsList_iconText,!
ELDEVF_violationsList_locationDefaultText,"Not Found"
ELDEVF_violationsList_shiftViolationTitle,"Shift Time Exceeded"
ELDEVF_violationsList_timeAndDurationDefaultText,--
ELDEVF_violationsList_timeTextPrefix,At 
ELDEXEP_16HoursInfoDetails,"Drivers who begin and end their day from the same location can use the 16 Hour Exception to add two extra hours to their shift once per week."
ELDEXEP_16HoursInfoTitle,"What is the 16 Hour Short Haul Exception?"
ELDEXEP_16HoursLabelText,"16 Hour Exception"
ELDEXEP_16HoursShortTitle,"16 Hour"
ELDEXEP_16HoursText,16
ELDEXEP_ADExceptionNteHint,"Adverse Driving Exception Note"
ELDEXEP_SHExceptionNteHint,"16 Hour Exception Note"
ELDEXEP_adverseDrivingLabelText,"Adverse Driving Exception"
ELDEXEP_adverseDrivingShortTitle,"Adverse Driving"
ELDEXEP_adverseDrivingText,AD
ELDEXEP_adverseInfoDetails,"When you encounter adverse driving conditions that you or your dispatcher could not have foreseen, you can add two extra hours of drive time to get safely to your destination."
ELDEXEP_adverseInfoTitle,"What is the Adverse Driving Exception?"
ELDEXEP_defaultExceptionNteHint,"Exception Note"
ELDEXEP_emptyNoteErrorMessage,"Please enter note for the exception."
ELDEXEP_exceptionStatusApplied,"Invoked for shift starting at %s."
ELDEXEP_exceptionStatusNotApplied,"Not used, no shift begun on this day."
ELDEXEP_exceptionStatusUnknown,Unknown
ELDEXEP_exceptionViewDateTitle,"For %1$s, %2$s"
ELDEXEP_exceptionViewNoShiftStartDetails,"Exceptions will be applied to your next shift for today."
ELDEXEP_exceptionViewShiftStartDetails,"Exceptions will be applied to your shift that started %1$s at %2$s."
ELDEXEP_onThisDayTitleText,"on this day"
ELDEXEP_selectedExceptionText,"\u2705\ufe0f"
ELDEXEP_todayTitleText,today
ELDEXEP_viewTitleText,"Daily Log Exceptions"
ELDEXEP_yesterdayTitleText,yesterday
ELDFRM_additionalNotesInputLayout_title,"Additional Notes"
ELDFRM_cannotChangeFormData,"Form data cannot be changed once a log has been certified."
ELDFRM_coDriverInputLayout_title,"Co Driver"
ELDFRM_logRuleset,"Log Ruleset"
ELDFRM_milesDrivenInputLayout_title,"Miles Driven"
ELDFRM_shippingNumberInputLayout_title,"Shipping Numbers"
ELDFRM_trailerNumberInputLayout_title,"Trailer Numbers"
ELDFRM_truckNumberInputLayout_title,"Tractor / Truck Numbers"
ELDHF_actionItem_tabIndicator,"ACTION ITEMS"
ELDHF_logs_tabIndicator,LOGS
ELDHF_logs_tabNotification,(%1$d)
ELDHF_shorthaulELDTimersTitle,"Property-Carrying USA 150-mile Shorthaul"
ELDHF_shorthaulpassengerELDTimersTitle,"Passenger-Carrying USA 150-mile Shorthaul"
ELDHF_standardELDTimersTitle,"USA ELD Standard"
ELDHF_texas70ELDTimersTitle,"Texas 70-Hour"
ELDHF_timer_timerDefault,--:--
ELDHF_timer_titleBreak,BREAK
ELDHF_timer_titleCycle,CYCLE
ELDHF_timer_titleDefault,-----
ELDHF_timer_titleDrive,DRIVE
ELDHF_timer_titleShift,SHIFT
ELDH_AutoDriveLineStopText,"Your duty status has automatically been changed to On-Duty Not Driving"
ELDH_AutoDriveLineText,"Your duty status has automatically been changed to Driving."
ELDLECF_editTabTitle,"Add Past Duty Status"
ELDLECF_exceptionTabTitle,"Shift Exceptions"
ELDLIF_DOTInspectionMode,"Roadside Inspection"
ELDLIF_item_arrowDesc,"go to log"
ELDLIF_item_certifiedDesc,"certification status"
ELDLIF_item_driveTimeDefault,-----
ELDLIF_item_headerTitleEightDayLogs,"Daily ELD Logs"
ELDLIF_item_headerTitleLastEightDays,"LAST 8 DAYS"
ELDLIF_item_lockedDesc,"lock status"
ELDLIF_item_logDateDefault,-----
ELDLOG_eventsTabIndicatorText,Events
ELDLOG_formsTabIndicatorText,Forms
ELDLOG_logGraph_rightBarDefaultTime,-.—
ELDLOG_logGraph_rightBarTitle,"Total Hours"
ELDLOG_topBar_certifiedDefaultText,"Certified —/—/—"
ELDLOG_topBar_certifyButtonText,"Certify Log"
ELDLOG_topBar_defaultText,"Day of Week, Month Day"
ELDSTAT_PC_text,"Personal Conveyance Enabled"
ELDSTAT_VIOL_text,"You are currently in violation"
ELDSTAT_YM_text,"Yard Moves Enabled"
ELDSTAT_default_text,"Special State Enabled"
ELDTF_SH_shift_timer_single_title,"12 Hour Shift"
ELDTSD_topArrow,▲
ELDTZ_buttonText_completingSetup,"Completing setup…"
ELDTZ_buttonText_continue,CONTINUE
ELDTZ_descText,"In order to properly configure your ELD, select your home terminal time zone from the list below."
ELDTZ_error_noTimezoneSelected,"Select a time zone to continue."
ELDTZ_timezoneItemDummyText,Timezone
ELDTZ_timezoneItem_Alaska,Alaska
ELDTZ_timezoneItem_Alaska_server,US/Alaska
ELDTZ_timezoneItem_Arizona,Arizona
ELDTZ_timezoneItem_Arizona_server,US/Arizona
ELDTZ_timezoneItem_AtlanticTime_Canada,"Atlantic Time (Canada)"
ELDTZ_timezoneItem_AtlanticTime_Canada_server,Canada/Atlantic
ELDTZ_timezoneItem_CentralTime_USCanada,"Central Time (US & Canada)"
ELDTZ_timezoneItem_CentralTime_USCanada_server,US/Central
ELDTZ_timezoneItem_EasternTime_USCanada,"Eastern Time (US & Canada)"
ELDTZ_timezoneItem_EasternTime_USCanada_server,US/Eastern
ELDTZ_timezoneItem_Indiana_East,"Indiana (East)"
ELDTZ_timezoneItem_Indiana_East_server,US/East-Indiana
ELDTZ_timezoneItem_MountainTime_USCanada,"Mountain Time (US & Canada)"
ELDTZ_timezoneItem_MountainTime_USCanada_server,US/Mountain
ELDTZ_timezoneItem_PacificTime_USCanada,"Pacific Time (US & Canada)"
ELDTZ_timezoneItem_PacificTime_USCanada_server,US/Pacific
ELDTZ_timezoneItem_Saskatchewan,Saskatchewan
ELDTZ_timezoneItem_Saskatchewan_server,Canada/Saskatchewan
ELDTZ_toolbarText,"Set Your Home Terminal Time Zone"
ELDVN_1Hour,"1 hour"
ELDVN_30Minute,"30 minutes"
ELDVN_break,Break
ELDVN_breakViolationSystemNotification,"HOS Violation - 30 Minute Break needed"
ELDVN_cycle,Cycle
ELDVN_cycleViolationSystemNotification,"HOS Violation - 70 hour cycle time exceeded"
ELDVN_drive,Drive
ELDVN_driveViolationSystemNotification,"HOS Violation - 11 hour drive time exceeded"
ELDVN_multipleViolationSystemNotification,"Multiple HOS Violations."
ELDVN_shift,Shift
ELDVN_shiftViolationSystemNotification,"HOS Violation - 14 hour shift time exceeded"
ELDVN_warningSystemNotification,"HOS Violation approaching. Please stop driving in the next %1$s."
ELDWE_pendingEditTitleText,"Admin Edit Pending"
ELD_dutyStatus_D,D
ELD_dutyStatus_D_long,Driving
ELD_dutyStatus_OFF,OFF
ELD_dutyStatus_OFF_long,"Off Duty"
ELD_dutyStatus_ON,ON
ELD_dutyStatus_ON_long,"On Duty"
ELD_dutyStatus_PC_long,"Personal Conveyance"
ELD_dutyStatus_PC_long_main,"Personal Conveyance"
ELD_dutyStatus_SB,SB
ELD_dutyStatus_SB_long,"Sleeper Berth"
ELD_dutyStatus_YM_long,"Yard Move"
EMPTY,
ERRV_defaultString,"This is an error view box. Write error message here."
ETNF_descTextHeader,"Enter Your Truck Number"
ETNF_invalidVinEntered,"The entered VIN was not a valid VIN"
ETNF_noTruckNumberEntered,"Please enter a truck number"
ETNF_noVinEntered,"Please enter a VIN"
ETNF_okButtonText,OK
ETNF_setTruckNumberFailed,"Failed to set the truck number. Please try again."
ETNF_setVinFailed,"Failed to set the vin.  Please try again."
ETNF_truckNumberInputHint,"Truck/Tractor Number"
ETNF_vinInputHint,VIN
ETNF_vinTextHeader,"Enter Your Truck's VIN"
EldTimer_titleBreak_long,"30 Minute Break"
EldTimer_titleBreak_short,"Break Timer"
EldTimer_titleCycle_long,"70 Hour Week"
EldTimer_titleCycle_short,"Cycle Timer"
EldTimer_titleDefault,-----
EldTimer_titleDrive_long,"11 Hour Drive"
EldTimer_titleDrive_short,"Drive Timer"
EldTimer_titleShift_long,"14 Hour Shift"
EldTimer_titleShift_short,"Shift Timer"
EldTimer_valueDefault,--:--
FORM_backButton,Back
FORM_cancelButton,Cancel
FORM_confirmButton,Submit
FORM_error,"Please complete all invalid fields"
FORM_formSubmitted,"Form Submitted"
FORM_formsHomeHistoryTabTitle,"Forms History"
FORM_formsHomeNewFormTabTitle,"New Form"
FORM_miscellaneousFormMissingDescription,"No description provided"
FORM_miscellaneousFormsTitle,"Fleet Forms"
FORM_noMiscellaneousForms,"No Miscellaneous Forms"
FORM_noSubmittedForms,"No Submitted Forms"
FORM_submitPending,Submitting…
FORM_submittedFormHeader,"Form Details"
FORM_submittedNullWidget,"No response"
FORM_submittedTime,"Submitted %1$s"
FORM_uploadPending,Uploading…
FORM_uploadedTime,"Uploaded %1$s"
GMF_mapNotAvailable,"Not Available"
HRID_credentialsNotFound,"Please enter a valid company ID and password"
HRID_hrIdHint,"%s Employee ID"
HRID_invalidCredentialsError,"Invalid credentials entered."
HRID_mavenLogoLongClickError,"""Hold for 5 seconds to go back to the traditional login page"""
IMEF_descText,"Streamline your daily workflow and take control of your record keeping. Welcome to paperless logs."
IMEF_imageContentDesc,"Maven ELD"
IMEF_title,"Introducing Maven ELD"
ISCGF_add_page_button,"Add Page"
ISCGF_add_photo_button,"Add Photo"
ISCGF_cancel_alert_message,"Are you sure you want to discard your changes?"
ISCGF_cancel_alert_negative,No
ISCGF_cancel_alert_positive,Yes
ISCGF_cancel_alert_title,"Exit Document Editor"
ISCGF_cancel_button,Cancel
ISCGF_finish_picture_button,CONFIRM
ISCGF_photo_number,"Photo %1$d/%2$d"
ISCGF_remove_picture_button,Remove
ISCGF_retake_picture_button,Retake
ISCGF_rotate_picture_button,Rotate
ISCGF_save_button,Done
ISCGF_take_photo_button,"Take Photo"
ISCPEF_retake,Retake
ISCPEF_save,Save
ISCPEF_saving,Saving…
LNA_descText,"Location Services are required in order to use Maven. Press the button below to edit location settings."
LNA_imageDesc,location
LNA_tryAgain,"GO TO SETTINGS"
MAINUI_dutyStatusChanged_d,"Duty status changed to DRIVING."
MAINUI_dutyStatusChanged_d,"Duty status changed to DRIVING."
MAINUI_dutyStatusChanged_off,"Duty status changed to OFF DUTY."
MAINUI_dutyStatusChanged_off,"Duty status changed to OFF DUTY."
MAINUI_dutyStatusChanged_on,"Duty status changed to ON DUTY."
MAINUI_dutyStatusChanged_on,"Duty status changed to ON DUTY."
MAINUI_dutyStatusChanged_sb,"Duty status changed to SLEEPER BERTH."
MAINUI_dutyStatusChanged_sb,"Duty status changed to SLEEPER BERTH."
MAINUI_savingBox_text,Saving
MAINUI_savingBox_text,Saving
MAINUI_showErrorMessage_failedToChangeDutyStatus,"Failed to updated duty status. Please try again."
MAINUI_showErrorMessage_failedToChangeDutyStatus,"Failed to updated duty status. Please try again."
MAINUI_showErrorMessage_failedToLoadLog,"Failed to fetch log details. Please try again."
MAINUI_showErrorMessage_failedToLoadLog,"Failed to fetch log details. Please try again."
MAINUI_stopSuccessfullyReordered,"Stop Successfully Reordered!"
MAINUI_stopSuccessfullyReordered,"Stop Successfully Reordered!"
MAINUI_stopUnsuccessfullyReordered,"Error: Unable to Successfully Reorder Stop"
MAINUI_stopUnsuccessfullyReordered,"Error:  Unable to Successfully Reorder Stop"
MAIN_UI_loading,Loading
MAPSF_gaugeLayout_distanceDisplay_defaultText,"0 miles"
MAPSF_gaugeLayout_timeDisplay_defaultText,00:00:00
MAPSF_startMarkerTitle,Start
MAPSF_toast_autoZoomActivated,"Auto Zoom Activated"
MAPSF_toast_entireRouteShown,"Entire Route Shown"
MAPSF_toast_eventsHidden,"Events Hidden"
MAPSF_toast_eventsShown,"Events Shown"
MAPSF_toast_followBearingActivated,"Follow Bearing Activated"
MAPSF_toast_followBearingDeactivated,"Follow Bearing Deactivated"
MAPSF_toast_followBearingRequiresAutoZoom,"Follow Bearing Requires Auto Zoom"
MAPSF_toast_manualZoomActivated,"Manual Zoom Activated"
MAPSF_toast_onlyRecentEventsShown,"Only Recent Events Shown"
MAVEN_noCredentialsError,"Please enter your credentials."
MDPV_disabled_title,"Document imaging is not currently supported on this device."
MDPV_empty_title,"Add photo of %1$s"
MDPV_empty_title,"Add photo of %1$s"
MDPV_loading_title,"Document Loading"
MDQU_failed,"Document upload failed. "
MDQU_failed_with_count,"%1$d images not uploaded."
MDQU_try_again,"Try again?"
MDUQ_in_progress,"Uploading %1$d of %2$d images"
MDUQ_success,"All images uploaded!"
MLV_fetchLocation,"fetch location"
MLV_locationNotFound,"Your location could not be determined automatically. Tap the arrow icon to try again or enter your location manually."
MLV_locationTitle,Location
MLV_showErrorMessage_locationNotFound,"Enter a valid location."
MN_goToMessages,"Go to Messages"
MN_newMessageContentText,"View new messages in the messages tab."
MN_newMessageSystemContentText,"New messages. Please view your messages tab for details."
MN_newMessageTitleText,"New Messages"
MPDF_okayButtonText,Okay
MPDF_responseImageContentDescription,"Progress Dialog Response Image"
MTF_broadcast,Broadcast
MTF_broadcastWarning,"Note: This message will be sent to all list recipients individually."
MTF_enterTextHint,"Type message"
MTF_loadConversationsHistoryButtonText,"{""one"":""Load Conversations Older Than %d Hour"",""other"":""Load Conversations Older Than %d Hours""}"
MTF_loadingMessages,Loading
MTF_messagesHeader,Messages
MTF_noThreads,"You don't have any
conversations right now"
MTF_sendButton,SEND
MTF_threadCreated,"Conversation created by %1$s on %2$s"
MT_helpPopupContentText,"Now get Maven safety benefits even without the headset. Press & hold the button for 2 seconds to toggle On/Off."
MT_helpPopupTitle,"New Feature"
MT_turnOffText,"Turn Maven Off"
MT_turnOnText,"Turn Maven On"
MUPV_manyUsers,+%1$d
MUPV_unknownInitials,"\?"
MavenTag_tagIcon,"Tag Icon"
NDF_androidVersion,"Android v %1$s"
NDF_appRating,"Rate Maven Machines"
NDF_appVersion,"App v %1$s"
NDF_checkForUpdate,"Check for Updates"
NDF_checking,Checking…
NDF_dotInspection,"Roadside Inspection"
NDF_driverDashboard,"Driver Dashboard"
NDF_driverName,"%1$s %2$s"
NDF_driverProfile,"Driver Profile"
NDF_emailLogs,"Email HOS Logs"
NDF_forms,Forms
NDF_help,Help
NDF_logOut,"Log Out"
NDF_roadsideInspection,"Roadside Inspection"
NDF_settings,Settings
NDF_tripHistory,"Trip History"
PDATF_actionButton,"Arrive Terminal"
PDATF_actionButton,"Arrive Terminal"
PDATF_arriveTerminalTitle,"En route to %1$s terminal"
PDATF_arriveTerminalTitle,"En route to %1$s terminal"
PDATF_estimatedTimeOfArrival,"ETA is %1$s"
PDATF_estimatedTimeOfArrival,"ETA is %1$s"
PDBBV_backButton_contentDescription,"Back Button"
PDBBV_backButton_text,back
PDBBV_cancelButton_contentDescription,"Cancel Button"
PDBBV_closeButton_contentDescription,"Close Button"
PDBBV_newShipmentText,"New %1$s"
PDBBV_shipmentId_proNumberText,"PRO #%1$s"
PDBBV_shipmentId_requestText,"REQ #%1$s"
PDBBV_shipmentId_textDefault,-
PDBBV_typeImage_contentDescription,"Shipment Type"
PDBCA_selectShipments,"Select Shipments"
PDBCD_acc_text,Accessorials
PDBCD_acc_text,Accessorials
PDBCD_finishButton_text,"Complete Shipments"
PDBCD_finishButton_text,"Complete Shipments"
PDBCD_signerField_text,"Contact Name"
PDBCD_signerField_text,"Contact Name"
PDBCD_signerHeaderDeliveryOnly,"Signed Delivery Receipt"
PDBCD_signerHeaderDeliveryOnly,"Signed Delivery Receipt"
PDBCD_signerHeader_text,"Customer Name"
PDBCD_signerHeader_text,"Customer Name"
PDCC_status_0,Pending
PDCC_status_1000d,"Delivered - No Problems"
PDCC_status_1000p,"Picked Up - No Problems"
PDCC_status_1100,"Delivered - Damaged"
PDCC_status_1101,"Delivered - Short"
PDCC_status_1102,"Delivered - Damaged + Short"
PDCC_status_1103,"Delivered - Partial Refusal"
PDCC_status_1104,"Delivered - Over"
PDCC_status_1200,"Not Delivered - Damaged"
PDCC_status_1201,"Not Delivered - Short"
PDCC_status_1202,"Not Delivered - Collection Issue"
PDCC_status_1203,"Not Delivered - Other"
PDCC_status_1204,"Not Delivered - Not Ordered"
PDCC_status_1205,"Not Delivered - Order Canceled"
PDCC_status_1206,"Not Delivered - Shipped Early"
PDCC_status_1207,"Not Delivered - Shipped Late"
PDCC_status_1208,"Not Delivered - Wrong Item"
PDCC_status_1209,"Not Delivered - Wrong Location"
PDCC_status_1210,"Beyond Bus Hrs"
PDCC_status_1211,Holiday
PDCC_status_1212,Inventory
PDCC_status_1213,Weather
PDCC_status_1214,Strike
PDCC_status_1215,"Spec Equip Req"
PDCC_status_1216,"Appt Needed"
PDCC_status_1217,"RES Not Home"
PDCC_status_1218,"Address Incorrect"
PDCC_status_1219,"Missed Appt"
PDCC_status_1220,"Too Long Wait"
PDCC_status_1221,"Will Redeliver"
PDCC_status_1222,"Not Delivered - Needs Appt"
PDCC_status_1223,"Not Delivered - ACC Required"
PDCC_status_1224,"Attempted - Unable To Access"
PDCC_status_1225,"Not Delivered - Customer No Longer Wants"
PDCC_status_1226,"No Freight"
PDCC_status_1227,"Duplicate Order"
PDCC_status_1228,"Not Delivered - Deliver Tomorrow"
PDCC_status_1229,"No Funds"
PDCC_status_1300,"Not Picked Up - No Freight"
PDCC_status_1301,"Not Ready - Pick Up Tomorrow"
PDCC_status_1302,"Not Picked Up - Cut Off"
PDCC_status_1303,"Not Ready - Return Today"
PDCC_status_1304,"Not Ready - Reschedule"
PDCC_status_1400,"Canceled - Bad Address"
PDCC_status_1401,"Canceled - Missed Appointment"
PDCC_status_1402,"Canceled - Unable To Contact"
PDCC_status_1403,"Canceled - Location Closed"
PDCC_status_1404,"Canceled - Other"
PDCC_status_1405,"Canceled - Lift Gate Required"
PDCC_status_1414,"Canceled - Force Return To Terminal"
PDCC_status_1415,"Canceled - Customer Request"
PDCC_status_1416,"Canceled - Deliver Tomorrow"
PDCC_status_1417,"Canceled - Consignee Closed - Before 5pm"
PDCC_status_1418,"Canceled - Consignee Closed - After 5pm"
PDCC_status_1419,"Canceled - Did Not Attempt"
PDCC_status_1420,"Canceled - Unable To Access Location"
PDCC_status_1421,"Canceled - Shipper Closed - Arrived On Time"
PDCC_status_1422,"Canceled - Shipper Closed - Arrived Late"
PDCC_status_1423,"Canceled - Cut Off"
PDCC_status_1424,"Canceled - Missed Appointment"
PDCC_status_1425,"Canceled - By TMS"
PDCC_status_1427,"Canceled - Force Return To Terminal"
PDCC_status_canceled_noFreight,"Canceled - No Freight"
PDCC_status_forceReturnToTerminal,"Force Return To Terminal"
PDCNF_noFreightCompleteDialog_buttonCancel,Cancel
PDCNF_noFreightCompleteDialog_buttonConfirm,"Complete Stop"
PDCNF_noFreightCompleteDialog_customerContactInputHint,"Contact Name"
PDCNF_noFreightCompleteDialog_message,"Please enter the name of the customer contact who authorized this No Freight stop."
PDCNF_noFreightCompleteDialog_title,"Complete No Freight Stop?"
PDCSDF_addressIncorrect,"Address Incorrect"
PDCSDF_appointmentNeeded,"Appt Needed"
PDCSDF_cancel,Cancel
PDCSDF_closedDueToWeather,"Closed due to weather"
PDCSDF_closedForHoliday,"Closed for holiday"
PDCSDF_closedForInventory,"Closed for inventory"
PDCSDF_confirm,Confirm
PDCSDF_consigneeClosedAfter5,"Consignee closed - arrived after 5pm"
PDCSDF_consigneeClosedBefore5,"Consignee closed - arrived before 5pm"
PDCSDF_customerRequest,"Customer Request"
PDCSDF_cutOff,"Cut Off To Make Pickups"
PDCSDF_deliverTomorrow,"Deliver Tomorrow"
PDCSDF_didNotAttempt,"Did not attempt"
PDCSDF_duplicateShipment,"Duplicate shipment"
PDCSDF_explanationOfStopFailure,"Explanation of Stop Failure"
PDCSDF_forcedReturnToTerminal,"Forced return to terminal"
PDCSDF_freightReturnedToDock,"Freight returned to dock"
PDCSDF_liftGateRequired,"Liftgate required"
PDCSDF_locationClosed,"Location closed"
PDCSDF_missedAppointmentWindow,"Missed appointment window"
PDCSDF_missedWindow,"Missed appt window"
PDCSDF_noFreightAvailable,"No freight"
PDCSDF_otherReason,"Other reason"
PDCSDF_pickupTomorrow,"PU Next Bus Day"
PDCSDF_reasonPlaceholder,"Enter explanation here."
PDCSDF_reasonTitle,Explanation
PDCSDF_reasonTitle,Explanation
PDCSDF_residentNotHome,"RES Not Home"
PDCSDF_shipperClosedLate,"Shipper closed - arrived late"
PDCSDF_shipperClosedOnTime,"Shipper closed - arrived on time"
PDCSDF_specialEquipmentNeeded,"Spec Equip Req"
PDCSDF_unableToAccessLocation,"Unable to access location"
PDCSDF_unableToContact,"Customer unavailable"
PDCSDF_waitTimeTooLong,"Too Long Wait"
PDDC_desc_text,"DETENTION COUNTER"
PDDC_time_default,--
PDDPD_bolNumberHeader_text,"BOL Number"
PDDPD_bolNumberInfo_text,"Enter BOL Number"
PDDPD_damagedDeliveryDetailsTitle_text,"Damaged Freight Details"
PDDPD_damagedFreight_cartonOpenTorn,"Carton Open/Torn"
PDDPD_damagedFreight_concealedDamage,"Concealed Damage"
PDDPD_damagedFreight_crushed,Crushed
PDDPD_damagedFreight_crushedCorner,"Crushed corner"
PDDPD_damagedFreight_dentedBent,Dented/Bent
PDDPD_damagedFreight_forkTowMotorHoles,"Fork/Tow Motor Holes"
PDDPD_damagedFreight_frozen,Frozen
PDDPD_damagedFreight_glassBroken,"Glass Broken"
PDDPD_damagedFreight_leaking,Leaking
PDDPD_damagedFreight_otherIssues,"Some other issues"
PDDPD_damagedFreight_packagesFellOff,"Packages fell off"
PDDPD_damagedFreight_responseHeader,"Select a damaged freight explanation"
