ACC_Weekend,"Fin de Semana"
ELDAE_request,"Solicitud"
ELDAE_requestAdminEdit,"Solicitar edición de administrador"
ELDAE_topBar_cannotEditLog,"No puede editar este registro porque ha solicitado una edición de administrador"
ELDAIF_item_arrowDesc,"ir a iniciar sesión"
ELDAIF_noActionItemImage_contentDesc,"Sin Elementos de Acción"
ELDAIF_noActionItemsText,"Los objetos de acción aparecerán aquí cuando tenga algo que hacer."
ELDAIF_noActionItemsTitle,"Usted está al corriente"
ELDCCRS_rrulesetChangedSuccess,"Reglas activas cambiadas con éxito."
ELDCCRS_rulesetChangedFailureCanadian,"No se puede cambiar una entrada individual al reglamento de Canadá"
ELDCF_loadingText,"Cargando …"
ELDCRSFDL_canadianNorthCycleOneText,"Norte de Canadá - Ciclo 1 (80hr / 7día)"
ELDCRSFDL_canadianNorthCycleTwoText,"Norte de Canadá - Ciclo 2 (120hr / 14día)"
ELDCRSFDL_canadianSouthCycleOneText,"Sur de Canadá - Ciclo 1 (70hr / 7día)"
ELDCRSFDL_canadianSouthCycleTwoText,"Sur de Canadá - Ciclo 2 (120hr / 14día)"
ELDCRSFDL_changeDriverRulesetTitle,"Cambie el reglamento del chofer"
ELDCRSFDL_changingRulesetMessage,"Cambiando el reglamento"
ELDCRSFDL_doneButtonText,"Terminado"
ELDCRSFDL_emptyRulesetErrorMessage,"Por favor, seleccione el conjunto de reglas para aplicar."
ELDCRSFDL_shortHaulDescriptionText,"EE. UU. Propiedad de corta distancia"
ELDCRSFDL_shortHaulPassengerDescriptionText,"Pasajero de corto alcance de EE. UU."
ELDCRSFDL_standardELDDescriptionText,"Propiedad de USA (70hr / 8día)"
ELDCRSFDL_subTitleTemplate,"Para %s"
ELDCRSFDL_texas70DescriptionText,"Interestatal de Texas (70hr / 7 días)"
ELDCRSFDL_titleText,"Cambie el reglamento de esta entrada"
ELDCRT_certifyLogDateText,"Certificado %1$s"
ELDCRT_certifyLogError,"No se pudo certificar el registro."
ELDCRT_certifyLogLayout_acceptEditRecertifyButtonText,"Acepte los cambios y Recertifique"
ELDCRT_certifyLogLayout_certifyButtonText,"CERTIFIQUE LA ENTRADA"
ELDCRT_certifyLogLayout_defaultTitleText,"Sábado, 15 de mayo de 2017"
ELDCRT_certifyLogLayout_descText,"Por la presente certifico que mis entradas de datos y mi registro de estado de servicio para este período de 24 horas son verdaderas y correctas."
ELDCRT_certifyLogToastText,"Registro certificado con éxito"
ELDDCF_currentDutyStatusTitleText,"Estado de servicio actual"
ELDDCF_currentVehicleTitleText,"EDITAR vehículo actual"
ELDDCF_driveLockOutButton,"SELECCIONE"
ELDDCF_driveLockOutMessage,"Para acceder a DRIVE, debe seleccionar un vehículo."
ELDDCF_driveLockOutTitle,"Ningún Vehículo Actualmente Seleccionado"
ELDDCF_dutyStatusChangeNoteTitle,"Nota de Cambio de Estado de Servicio"
ELDDCF_dutyStatusTitle,"Estado de Servicio"
ELDDCF_dutyStatus_D,"Conduciendo"
ELDDCF_dutyStatus_Drive,"Maneja"
ELDDCF_dutyStatus_OFF,"Fuera de Servicio"
ELDDCF_dutyStatus_ON,"En Servicio"
ELDDCF_dutyStatus_SB,"Litera para Dormir"
ELDDCF_fetchLocation,"buscar ubicación"
ELDDCF_infoManualDriveDisabledDetails,"Su flota ha inhabilitado el acceso manual a Drive. Conéctese a un vehículo y comience a conducir, y automáticamente se le pondrá en Conducir."
ELDDCF_infoManualDriveDisabledTitle,"Unidades Manuales Deshabilitadas"
ELDDCF_locationNotFound,"Tu ubicación no se pudo determinar automáticamente. Presiona el ícono de la flecha para volver a intentarlo o ingresa tu ubicación manualmente."
ELDDCF_locationTitle,"Ubicación"
ELDDCF_showErrorMessage_dutyStateNotFound,"Seleccione un estado de servicio o una excepción para guardar."
ELDDCF_showErrorMessage_locationNotFound,"Ingresa una ubicación válida."
ELDDCF_showErrorMessage_notesNotFound,"Ingrese una nota."
ELDDCF_toolbar_title,"Cambie el estatus del servicio"
ELDDCF_warning_drive_not_eld_compliant_detail,"Su aplicación debe conectarse al adaptador del vehículo antes de comenzar a conducir para cumplir con ELD."
ELDDCF_warning_drive_not_eld_compliant_title,"¡Esta unidad no cumplirá con ELD!"
ELDDCF_warning_drive_without_connected_detail,"Su flota ha desactivado el acceso a Drive cuando no está conectado a un vehículo. Conéctese a un vehículo y podrá acceder a Drive."
ELDDCF_warning_drive_without_connected_title,"Conducir sin vehículo conectado desactivado"
ELDDLOF_add_driver_license_number_and_state,"Agregar el número de la licencia y estado del chofer"
ELDDLOF_continueButtonText,"Continuar"
ELDDLOF_dot_inspection_mode_requirement,"Requisito de modo de inspección en carretera"
ELDDLOF_driverLicenseSampleImage,"Ejemplo de Licencia de Conducir"
ELDDLOF_licenseDataExplanation,"El Departamento de Transporte requiere que envíe digitalmente el número de su licencia de conducir comercial y el estado durante una inspección. Agregue esta información a su perfil de conductor."
ELDDSCF_currentVehicleConnectionStatusTitleText,"Estado de conexión del vehículo"
ELDDSCF_dutyStatusTabTitle,"Estados de Servicio"
ELDDSCF_editButtonText,"Editar"
ELDDSCF_exceptionTabTitle,"Excepciones del turno diario"
ELDDSCF_toolbar_title,"Agregar evento HOS"
ELDDSCF_vehicleAdapterConnected,"Conectado"
ELDDSCF_vehicleAdapterNotConnected,"No Conectado"
ELDDSCF_vehicleHasNoAdapter,"El vehículo no tiene adaptador"
ELDDSCF_vehicleText,"Vehículo Actual"
ELDEDIT_badEndTimeErrorMessage,"La hora de finalización debe ser posterior a la hora de inicio."
ELDEDIT_badEndTimeForEventUpdateErrorMessage,"La hora de finalización no puede ser anterior a la hora de inicio<br>del evento original."
ELDEDIT_badStartTimeErrorMessage,"La hora de inicio debe ser anterior a la hora de finalización."
ELDEDIT_badStartTimeForEventUpdateErrorMessage,"La hora de inicio no puede ser posterior a la hora de finalización <br> del evento original."
ELDEDIT_dutyStatusTitle,"Estado de Servicio"
ELDEDIT_editLogFailure,"No se pudo editar el registro."
ELDEDIT_endTimeTitle,"Fecha final"
ELDEDIT_fetchLocationContentDesc,"buscar ubicación"
ELDEDIT_locationLockedMessage,"El Mandato ELD requiere el registro automático de la ubicación GPS como la distancia al pueblo más cercano de 5,000 o más. Los conductores solo pueden ingresar ubicaciones si Maven no puede determinar automáticamente la ubicación."
ELDEDIT_locationLockedTitle,"No se puede cambiar la ubicación"
ELDEDIT_locationNotFound,"Tu ubicación no se pudo determinar automáticamente. Presiona el ícono de la flecha para volver a intentarlo o ingresa tu ubicación manualmente."
ELDEDIT_locationTitle,"Ubicación"
ELDEDIT_movementEventsEditNoteText,"El tiempo de movimiento debe etiquetarse como Drive o las categorías especiales ON Movimientos de Jardín o OFF Transporte Personal."
ELDEDIT_movementTimeCannotBeEdited,"El tiempo de movimiento no se puede editar."
ELDEDIT_notesTitle,"Notas"
ELDEDIT_showErrorMessage_dutyStateNotFound,"Seleccione un estado de servicio."
ELDEDIT_showErrorMessage_endTimeNotFound,"Establecer la hora de finalización."
ELDEDIT_showErrorMessage_futureTimeEdit,"No se puede cambiar un evento con un tiempo a futuro."
ELDEDIT_showErrorMessage_locationNotFound,"Ingresa una ubicación válida."
ELDEDIT_showErrorMessage_notesNotFound,"Ingrese una nota."
ELDEDIT_showErrorMessage_saveFailed,"No se pudo guardar la edición. Inténtalo de nuevo."
ELDEDIT_showErrorMessage_startTimeNotFound,"Establecer la hora de inicio"
ELDEDIT_showErrorMessage_unableToEditEvent,"No se puede editar el evento. Inténtalo de nuevo por favor."
ELDEDIT_startTimeTitle,"Hora de Inicio"
ELDEDIT_toolbarTitle_addEvent,"Agregar estatus pasado"
ELDEDIT_toolbarTitle_editEvent,"Editar estado de servicio"
ELDEVF_addPastEventButton_text,"AGREGAR EVENTO PASADO"
ELDEVF_commonTopBar_inspectionLayout_certifiedDefaultText,"Certificado -/-/-"
ELDEVF_commonTopBar_inspectionLayout_certifiedImageDesc,"Certificado"
ELDEVF_eventsBar_eventsTitle,"Eventos"
ELDEVF_eventsBar_eventsWithSuggestedEditsTitle,"Eventos con ediciones sugeridas"
ELDEVF_eventsBar_violationsTitle,"Violaciones"
ELDEVF_eventsList_dutyStatusDefaultText,"No Encontrado"
ELDEVF_eventsList_dutyStatusLocationDefaultText,"No Encontrado"
ELDEVF_eventsList_dutyStatusTimeDefaultText,"No Encontrado"
ELDEVF_eventsList_editButtonText,"EDITAR"
ELDEVF_eventsList_removeExceptionButton,"Eliminar"
ELDEVF_lowerBoundTimeTextForToday,"AHORA"
ELDEVF_topBar_cannotEditText,"Los registros no se pueden editar una vez certificados."
ELDEVF_violationsList_breakTime_US70HR,"30 Minutos"
ELDEVF_violationsList_breakViolationTitle,"%1$s Se necesita frenar"
ELDEVF_violationsList_cycleTime_US70HR,"70 Hora"
ELDEVF_violationsList_cycleViolationTitle,"%1$s Se excedió el ciclo de tiempo"
ELDEVF_violationsList_driveViolationTitle,"Tiempo de conducción excedido"
ELDEVF_violationsList_headerDefaultText,"No Encontrado"
ELDEVF_violationsList_locationDefaultText,"No Encontrado"
ELDEVF_violationsList_shiftViolationTitle,"Tiempo de turno excedido"
ELDEXEP_16HoursInfoDetails,"Los conductores que comienzan y terminan su día desde el mismo lugar pueden usar la excepción de 16 horas para agregar dos horas adicionales a su turno una vez por semana."
ELDEXEP_16HoursInfoTitle,"¿Qué es la excepción de trayecto corto de 16 horas?"
ELDEXEP_16HoursLabelText,"16 Excepción de Hora"
ELDEXEP_16HoursShortTitle,"16 Hora"
ELDEXEP_ADExceptionNteHint,"Nota de excepción de Conducción adversa"
ELDEXEP_SHExceptionNteHint,"16 Nota de Excepción de Hora"
ELDEXEP_adverseDrivingLabelText,"Excepción de Conducción adversa"
ELDEXEP_adverseDrivingShortTitle,"Conducción adversa"
ELDEXEP_adverseDrivingText,"AD"
ELDEXEP_adverseInfoDetails,"Cuando encuentre condiciones de manejo adversas que usted o su despachador no pudieron haber previsto, puede agregar dos horas adicionales de tiempo de manejo para llegar de manera segura a su destino."
ELDEXEP_adverseInfoTitle,"¿Qué es la excepción de conducción adversa?"
ELDEXEP_defaultExceptionNteHint,"Nota de Excepción"
ELDEXEP_emptyNoteErrorMessage,"Por favor ingrese una nota para la excepción."
ELDEXEP_exceptionStatusApplied,"Invocado para el turno a partir de %s."
ELDEXEP_exceptionStatusNotApplied,"No utilizado, ningún turno comenzó en este día."
ELDEXEP_exceptionStatusUnknown,"Desconocido"
ELDEXEP_exceptionViewDateTitle,"Para %1$s, %2$s"
ELDEXEP_exceptionViewNoShiftStartDetails,"Las excepciones se aplicarán a su próximo turno para hoy."
ELDEXEP_exceptionViewShiftStartDetails,"Se aplicarán excepciones a su turno que comenzó %1$s at %2$s."
ELDEXEP_onThisDayTitleText,"en este día"
ELDEXEP_todayTitleText,"hoy"
ELDEXEP_viewTitleText,"Excepciones de registro diario"
ELDEXEP_yesterdayTitleText,"ayer"
ELDFRM_additionalNotesInputLayout_title,"Notas adicionales"
ELDFRM_cannotChangeFormData,"Los datos del formulario no se pueden cambiar una vez que se ha certificado un registro."
ELDFRM_coDriverInputLayout_title,"Copiloto"
ELDFRM_logRuleset,"Conjunto de reglas de registro"
ELDFRM_milesDrivenInputLayout_title,"Millas Manejadas"
ELDFRM_shippingNumberInputLayout_title,"Números de Envío"
ELDFRM_trailerNumberInputLayout_title,"Números de Remolque"
ELDFRM_truckNumberInputLayout_title,"Tractor / Números de camiones"
ELDHF_actionItem_tabIndicator,"OBJETOS DE ACCIÓN"
ELDHF_logs_tabIndicator,"REGISTROS"
ELDHF_shorthaulELDTimersTitle,"Transporte de propiedad de EE. UU. de 150 millas de corto radio"
ELDHF_shorthaulpassengerELDTimersTitle,"Transporte de pasajeros de corto radio de 150 millas en EE. UU."
ELDHF_standardELDTimersTitle,"USA ELD Standard"
ELDHF_texas70ELDTimersTitle,"Texas 70 Horas"
ELDHF_timer_titleBreak,"DESCANSO"
ELDHF_timer_titleCycle,"CICLO"
ELDHF_timer_titleDrive,"MANEJA"
ELDHF_timer_titleShift,"TURNO"
ELDH_AutoDriveLineStopText,"Su estado de servicio se ha cambiado automáticamente a En servicio sin conducir"
ELDH_AutoDriveLineText,"Su estado de servicio se ha cambiado automáticamente a Conducir."
ELDLECF_editTabTitle,"Agregar estatus pasado"
ELDLECF_exceptionTabTitle,"Excepciones de turno"
ELDLIF_DOTInspectionMode,"Inspección en carretera"
ELDLIF_item_arrowDesc,"ir a iniciar sesión"
ELDLIF_item_certifiedDesc,"Estatus de certificación"
ELDLIF_item_headerTitleEightDayLogs,"Registros ELD diarios"
ELDLIF_item_headerTitleLastEightDays,"ÚLTIMOS 8 DIAS"
ELDLIF_item_lockedDesc,"Estado de bloqueo"
ELDLOG_eventsTabIndicatorText,"Eventos"
ELDLOG_formsTabIndicatorText,"Formulario"
ELDLOG_logGraph_rightBarTitle,"Horas Totales"
ELDLOG_topBar_certifiedDefaultText,"Certificado -/-/-"
ELDLOG_topBar_certifyButtonText,"Certifique la entrada"
ELDLOG_topBar_defaultText,"Día de la semana, día del mes"
ELDSTAT_PC_text,"Transporte Personal Habilitado"
ELDSTAT_VIOL_text,"Usted está actualmente en violación"
ELDSTAT_YM_text,"Movimientos de patio habilitados"
ELDSTAT_default_text,"Estado Especial Habilitado"
ELDTF_SH_shift_timer_single_title,"12 Hora de Turno"
ELDTZ_buttonText_completingSetup,"Completando configuración…"
ELDTZ_buttonText_continue,"CONTINUAR"
ELDTZ_descText,"Para configurar correctamente su ELD, seleccione el tiempo de su terminal de origen de la lista a continuación."
ELDTZ_error_noTimezoneSelected,"Seleccione una zona horaria para continuar."
ELDTZ_timezoneItemDummyText,"Zonahoraria"
ELDTZ_timezoneItem_Alaska,"Alaska"
ELDTZ_timezoneItem_Alaska_server,"US/Alaska"
ELDTZ_timezoneItem_Arizona,"Arizona"
ELDTZ_timezoneItem_Arizona_server,"US/Arizona"
ELDTZ_timezoneItem_AtlanticTime_Canada,"Hora Atlántica (Canadá)"
ELDTZ_timezoneItem_AtlanticTime_Canada_server,"Canadá/Atlántico"
ELDTZ_timezoneItem_CentralTime_USCanada,"Hora Central (US &amp; Canadá)"
ELDTZ_timezoneItem_CentralTime_USCanada_server,"US/Central"
ELDTZ_timezoneItem_EasternTime_USCanada,"Hora del Este (US &amp; Canadá)"
ELDTZ_timezoneItem_EasternTime_USCanada_server,"US/Este"
ELDTZ_timezoneItem_Indiana_East,"Indiana (Este)"
ELDTZ_timezoneItem_Indiana_East_server,"US/Este-Indiana"
ELDTZ_timezoneItem_MountainTime_USCanada,"Hora de la Montaña (US &amp; Canadá)"
ELDTZ_timezoneItem_MountainTime_USCanada_server,"US/Montaña"
ELDTZ_timezoneItem_PacificTime_USCanada,"Hora del Pacífico (US &amp; Canadá)"
ELDTZ_timezoneItem_PacificTime_USCanada_server,"US/Pacífico"
ELDTZ_timezoneItem_Saskatchewan,"Saskatchewan"
ELDTZ_timezoneItem_Saskatchewan_server,"Canadá /Saskatchewan"
ELDTZ_toolbarText,"Establezca la zona horaria de su terminal local"
ELDVN_30Minute,"30 minutos"
ELDVN_break,"Descanso"
ELDVN_breakViolationSystemNotification,"Violación de HOS - Se necesita un descanso de 30 minutos"
ELDVN_cycle,"Ciclo"
ELDVN_cycleViolationSystemNotification,"Violación de HOS - Tiempo de ciclo de 70 horas excedido"
ELDVN_drive,"Maneja"
ELDVN_driveViolationSystemNotification,"Violación de HOS - 11 horas de tiempo de conducción excedido"
ELDVN_multipleViolationSystemNotification,"Violaciones Múltiples de HOS."
ELDVN_shift,"Turno"
ELDVN_shiftViolationSystemNotification,"Violación de HOS - Se excedió el tiempo de turno de 14 horas"
ELDVN_warningSystemNotification,"Se acerca una violación de HOS. Por favor, deje de conducir en el próximo %1$s."
ELDWE_pendingEditTitleText,"Actualización de Administración Pendiente"
ELD_dutyStatus_D,"D"
ELD_dutyStatus_D_long,"Conduciendo"
ELD_dutyStatus_OFF,"APAGAD0"
ELD_dutyStatus_OFF_long,"Fuera de Servicio"
ELD_dutyStatus_ON,"ENCENDIDO"
ELD_dutyStatus_ON_long,"En Servicio"
ELD_dutyStatus_PC_long,"Fuera de Servicio"
ELD_dutyStatus_PC_long_main,"Transporte Personal"
ELD_dutyStatus_SB,"SB"
ELD_dutyStatus_SB_long,"Litera para Dormir"
ELD_dutyStatus_YM_long,"Movimiento de patio"
ERRV_defaultString,"Este es un cuadro de vista de error. Escriba el mensaje de error aquí."
ETNF_descTextHeader,"Ingrese su número de camión"
ETNF_invalidVinEntered,"El VIN ingresado no era un VIN válido"
ETNF_noTruckNumberEntered,"Por favor, introduzca un número de camión"
ETNF_noVinEntered,"Por favor ingrese un VIN"
ETNF_okButtonText,"OK"
ETNF_setTruckNumberFailed,"No se pudo establecer el número de camión. Inténtalo de nuevo."
ETNF_setVinFailed,"No se pudo establecer el vin. Inténtalo de nuevo."
ETNF_truckNumberInputHint,"Número de camión/tractor"
ETNF_vinTextHeader,"Ingrese el VIN de su camión"
EldTimer_titleBreak_long,"Descanso de 30 Minutos"
EldTimer_titleBreak_short,"Reloj de descanso"
EldTimer_titleCycle_long,"Semana de 70 Horas"
EldTimer_titleCycle_short,"Temporizador de Ciclo"
EldTimer_titleDrive_long,"11 Hora de manejo"
EldTimer_titleDrive_short,"Temporizador de conducción"
EldTimer_titleShift_long,"14 Hora de Turno"
EldTimer_titleShift_short,"Temporizador de turno"
FORM_backButton,"Atrás"
FORM_cancelButton,"Cancelar"
FORM_confirmButton,"Enviar"
FORM_error,"Por favor complete todos los campos inválidos"
FORM_formSubmitted,"Formulario Enviado"
FORM_formsHomeHistoryTabTitle,"Historial de Formularios"
FORM_formsHomeNewFormTabTitle,"Forma Nueva"
FORM_miscellaneousFormMissingDescription,"No se proporcionó descripción"
FORM_miscellaneousFormsTitle,"Formularios de Flota"
FORM_noMiscellaneousForms,"Sin Formas Misceláneas"
FORM_noSubmittedForms,"Sin Formularios Enviados"
FORM_submitPending,"Enviando…"
FORM_submittedFormHeader,"Detalles del Formulario"
FORM_submittedNullWidget,"Sin respuesta"
FORM_submittedTime,"Enviado %1$s"
FORM_uploadPending,"Cargando…"
FORM_uploadedTime,"Cargado %1$s"
GMF_mapNotAvailable,"No Disponible"
HRID_credentialsNotFound,"Por favor, introduzca un ID de la empresa y una contraseña válidos"
HRID_hrIdHint,"%s ID de Empleado"
HRID_invalidCredentialsError,"Credenciales no válidas ingresadas."
HRID_mavenLogoLongClickError,"Mantenga presionado durante 5 segundos para volver a la página de inicio de sesión tradicional \"
IMEF_descText,"Agilice su flujo de trabajo diario y tome el control de su mantenimiento de registros. Bienvenido a los registros sin papel."
IMEF_imageContentDesc,"Maven ELD"
IMEF_title,"Presentamos a Maven ELD"
ISCGF_add_page_button,"Agregar página"
ISCGF_add_photo_button,"Agregar fotografía"
ISCGF_cancel_alert_message,"¿Está seguro de que quiere borrar los cambios?"
ISCGF_cancel_alert_negative,"No"
ISCGF_cancel_alert_positive,"Si"
ISCGF_cancel_alert_title,"Salir del editor de documentos"
ISCGF_cancel_button,"Cancelar"
ISCGF_finish_picture_button,"CONFIRME"
ISCGF_photo_number,"Foto %1$d/%2$d"
ISCGF_remove_picture_button,"Eliminar"
ISCGF_retake_picture_button,"Retomar"
ISCGF_rotate_picture_button,"Rotar"
ISCGF_save_button,"Terminado"
ISCGF_take_photo_button,"Tomar Foto"
ISCPEF_retake,"Retomar"
ISCPEF_save,"Guardar"
ISCPEF_saving,"Guardando…"
LNA_descText,"Los servicios de ubicación son necesarios para utilizar Maven. Presiona el botón a continuación para editar la configuración de ubicación."
LNA_imageDesc,"ubicación"
LNA_tryAgain,"IR A CONFIGURACIÓN"
MAINUI_dutyStatusChanged_d,"El estado de servicio cambió a CONDUCCIÓN."
MAINUI_dutyStatusChanged_off,"El estado de servicio cambió a FUERA DE SERVICIO."
MAINUI_dutyStatusChanged_on,"El estado de servicio cambió a EN SERVICIO."
MAINUI_dutyStatusChanged_sb,"El estado de servicio cambió a CABINA DE DORMIR."
MAINUI_savingBox_text,"Guardando"
MAINUI_showErrorMessage_failedToChangeDutyStatus,"No se pudo actualizar el estado de servicio. Inténtalo de nuevo."
MAINUI_showErrorMessage_failedToLoadLog,"No se pudieron obtener los detalles del registro. Inténtalo de nuevo."
MAINUI_stopSuccessfullyReordered,"¡Parada reordenada con éxito!"
MAINUI_stopUnsuccessfullyReordered,"Error: no se puede reordenar con éxito la parada"
MAIN_UI_loading,"Cargando"
MAPSF_startMarkerTitle,"Inicio"
MAPSF_toast_autoZoomActivated,"Auto Zoom Activado"
MAPSF_toast_entireRouteShown,"Se muestra toda la ruta"
MAPSF_toast_eventsHidden,"Eventos Ocultos"
MAPSF_toast_eventsShown,"Eventos Mostrados"
MAPSF_toast_followBearingActivated,"Soporte de Seguimiento Activado"
MAPSF_toast_followBearingDeactivated,"Soporte de Seguimiento Desactivado"
MAPSF_toast_followBearingRequiresAutoZoom,"Seguimiento de rumbo requiere zoom automático"
MAPSF_toast_manualZoomActivated,"Zoom Manual Activado"
MAPSF_toast_onlyRecentEventsShown,"Solo se muestran eventos recientes"
MAVEN_noCredentialsError,"Por favor ingrese sus credenciales."
MDPV_disabled_title,"Actualmente, la imagen de documentos no es compatible con este dispositivo."
MDPV_empty_title,"Agregar fotografía de %1$s"
MDPV_loading_title,"Cargando Documentos"
MDQU_failed,"Error al cargar el documento. "
MDQU_failed_with_count,"%1$d no se subieron las imágenes."
MDQU_try_again,"¿Intentar otra vez?"
MDUQ_in_progress,"Cargando %1$d de %2$d imágenes"
MDUQ_success,"Se han subido todas las imágenes!"
MLV_fetchLocation,"buscar ubicación"
MLV_locationNotFound,"Tu ubicación no se pudo determinar automáticamente. Presiona el ícono de la flecha para volver a intentarlo o ingresa tu ubicación manualmente."
MLV_locationTitle,"Ubicación"
MLV_showErrorMessage_locationNotFound,"Ingresa una ubicación válida."
MN_goToMessages,"Ir a Mensajes"
MN_newMessageContentText,"Ver nuevos mensajes en la pestaña de mensajes."
MN_newMessageSystemContentText,"Mensajes Nuevos. Consulte la pestaña de mensajes para obtener más información.."
MN_newMessageTitleText,"Mensajes Nuevos"
MPDF_okayButtonText,"Okay"
MPDF_responseImageContentDescription,"Imagen de respuesta del cuadro de diálogo Progreso"
MTF_broadcast,"Anuncio"
MTF_broadcastWarning,"Nota: Este mensaje se enviará a todos los destinatarios de la lista individualmente."
MTF_enterTextHint,"Escriba el mensaje"
MTF_loadingMessages,"Cargando"
MTF_messagesHeader,"Mensajes"
MTF_noThreads,"No tienes ninguna<br>conversación en este momento"
MTF_sendButton,"ENVIAR"
MTF_threadCreated,"Conversación creada por %1$s en %2$s"
MT_helpPopupContentText,"Ahora obtenga los beneficios de seguridad de Maven incluso sin los auriculares. Mantenga presionado el botón durante 2 segundos para activar/desactivar."
MT_helpPopupTitle,"Nueva Característica"
MT_turnOffText,"Apague a Maven"
MT_turnOnText,"Encender Maven"
MavenTag_tagIcon,"Pestaña de Icono"
NDF_appRating,"Valore las máquinas Maven"
NDF_appVersion,"Aplicación v %1$s"
NDF_checkForUpdate,"Revise las actualizaciones"
NDF_checking,"Revisando …"
NDF_dotInspection,"Inspección en carretera"
NDF_driverDashboard,"Tablero del conductor"
NDF_driverProfile,"Perfil del Conductor"
NDF_emailLogs,"Registros de HOS por correo electrónico"
NDF_forms,"Formularios"
NDF_help,"Ayuda"
NDF_logOut,"Cerrar sesión"
NDF_roadsideInspection,"Inspección en carretera"
NDF_settings,"Ajustes"
NDF_tripHistory,"Historia del Viaje"
PDATF_actionButton,"Terminal de llegada"
PDATF_arriveTerminalTitle,"En ruta a %1$s terminal"
PDATF_estimatedTimeOfArrival,"Hora estimada de llegada es %1$s"
PDBBV_backButton_contentDescription,"Botón hacia atrás"
PDBBV_backButton_text,"atrás"
PDBBV_cancelButton_contentDescription,"Botón de Cancelar"
PDBBV_closeButton_contentDescription,"Cerrar Botón"
PDBBV_newShipmentText,"Nuevo %1$s"
PDBBV_shipmentId_proNumberText,"PRO #%1$s"
PDBBV_shipmentId_requestText,"REQ #%1$s"
PDBBV_typeImage_contentDescription,"Tipo de Envío"
PDBCA_selectShipments,"Seleccione Envíos"
PDBCD_acc_text,"Accesorios"
PDBCD_finishButton_text,"Ingresar cargamentos"
PDBCD_signerField_text,"Nombre de contacto"
PDBCD_signerHeaderDeliveryOnly,"Recibo de entrega firmado"
PDBCD_signerHeader_text,"Nombre del Cliente"
PDCC_status_0,"Pendiente"
PDCC_status_1000d,"Entregado – Sin Problemas"
PDCC_status_1000p,"Recogido - Sin Problemas"
PDCC_status_1100,"Entregado - Dañado"
PDCC_status_1101,"Entregado - Corto"
PDCC_status_1102,"Entregado - Dañado + Corto"
PDCC_status_1103,"Entregado - Rechazo parcial"
PDCC_status_1104,"Entregado - Terminado"
PDCC_status_1200,"No Entregado - Dañado"
PDCC_status_1201,"No Entregado - Corto"
PDCC_status_1202,"No Entregado - Problema de Recolección"
PDCC_status_1203,"No Entregado - Otro"
PDCC_status_1204,"No Entregado – No Ordenado"
PDCC_status_1205,"No Entregado - Orden Cancelada"
PDCC_status_1206,"No Entregado - Enviado Temprano"
PDCC_status_1207,"No Entregado – Enviado Tarde"
PDCC_status_1208,"No Entregado - Artículo Incorrecto"
PDCC_status_1209,"No Entregado - Lugar Incorrecto"
PDCC_status_1210,"Después de horario de autobús"
PDCC_status_1211,"Feriado"
PDCC_status_1212,"Inventario"
PDCC_status_1213,"Clima"
PDCC_status_1214,"Tachar"
PDCC_status_1215,"Requerimiento de equipo de especificaciones"
PDCC_status_1216,"Se requiere cita"
PDCC_status_1217,"RESIDENTE no está en casa"
PDCC_status_1218,"Dirección Incorrecta"
PDCC_status_1219,"Citas Perdidas"
PDCC_status_1220,"Espera Demasiado Larga"
PDCC_status_1221,"Volverá a entregar"
PDCC_status_1222,"No Entregado – Necesita Cita"
PDCC_status_1223,"No Entregado - ACC Requerido"
PDCC_status_1224,"Intentado – No se logró el acceso"
PDCC_status_1225,"No Entregado - El Cliente ya no Quiere"
PDCC_status_1226,"Sin Flete"
PDCC_status_1227,"Orden Duplicada"
PDCC_status_1228,"No Entregado - Entregar Mañana"
PDCC_status_1229,"Sin Fondos"
PDCC_status_1300,"No Recogido - Sin Flete"
PDCC_status_1301,"No Listo - Recoger Mañana"
PDCC_status_1302,"No Recogido - Interrumpido"
PDCC_status_1303,"No Listo - Regresa Hoy"
PDCC_status_1304,"No Listo - Reprogramar"
PDCC_status_1400,"Cancelado -  Dirección incorrecta"
PDCC_status_1401,"Cancelado – No llegó a la hora de la cita"
PDCC_status_1402,"Cancelado – No se puede contactar"
PDCC_status_1403,"Cancelado - Ubicación cerrada"
PDCC_status_1404,"Cancelado - Otro"
PDCC_status_1405,"Cancelado -  Se requiere puerta de ascensor"
PDCC_status_1414,"Cancelado - Regreso a la Terminal Forzado"
PDCC_status_1415,"Cancelado – Solicitud del cliente"
PDCC_status_1416,"Cancelado – Entregue mañana"
PDCC_status_1417,"Cancelado - Consignatario Cerrado – Antes de las 5pm"
PDCC_status_1418,"Cancelado - Consignatario Cerrado – Después de las 5pm"
PDCC_status_1419,"Cancelado - No intentó"
PDCC_status_1420,"Cancelado – No se puede entrar"
PDCC_status_1421,"Cancelado - Expedidor Cerrado – Llegada a tiempo"
PDCC_status_1422,"Cancelado - Expedidor Cerrado – Llegada tarde"
PDCC_status_1423,"Cancelado - Corte"
PDCC_status_1424,"Cancelado – No llegó a la hora de la cita"
PDCC_status_1425,"Cancelado - por TMS"
PDCC_status_1427,"Cancelado - Regreso a la Terminal Forzado"
PDCC_status_canceled_noFreight,"Cancelado - No Transporte"
PDCC_status_forceReturnToTerminal,"Forzar Regreso a la Terminal"
PDCNF_noFreightCompleteDialog_buttonCancel,"Cancelar"
